Action	动作
Action / 2	动作 / 2
Action / Shooting	动作 / 射击
Action / Shooting 2	动作 / 射击 2
Action / Shooting 3D	动作 / 射击 3D
Adult	成人
Adventure	冒险
Adventure / Africa	冒险 / 非洲
Adventure / Apocalyptic	冒险 / 末世
Adventure / Arabian	冒险 / 阿拉伯
Adventure / B.C.	冒险 / 公元前
Adventure / Cops	冒险 / 警察
Adventure / Dinosaurs	冒险 / 恐龙
Adventure / Dragons	冒险 / 龙
Adventure / Fantasy	冒险 / 幻想
Adventure / Horror	冒险 / 恐怖
Adventure / Knights	冒险 / 骑士
Adventure / Mafia	冒险 / 黑帮
Adventure / Pirates	冒险 / 海盗
Adventure / Western	冒险 / 西部
Army	军队
Army / Airforce	军队 / 空军
Army / Airforce 2	军队 / 空军 2
Army / Airforce 3	军队 / 空军 3
Army / Airforce 3D	军队 / 空军 3D
Army / Antiaircraft	军队 / 防空
Army / Dog-Fight	军队 / Dog-Fight 近距离空战?
Army / Fighter	军队 / 战士
Army / Fighter 2	军队 / 战士 2
Army / Fighter 3D	军队 / 战士 3D
Army / Helicopter	军队 / 直升机
Army / Helicopter 3D	军队 / 直升机 3D
Army / Submarine	军队 / 潜艇
Army / Tank	军队 / 坦克
Army / Tank 3D	军队 / 坦克 3D
DC Universe	DC 宇宙
Fighter	格斗
Fighter / Asian	格斗 / 亚洲的
Fighter / Asian 2	格斗 / 亚洲的 2
Fighter / Asian 3D	格斗 / 亚洲的 3D
Fighter / Asian vs.	格斗 / 亚洲的 vs.
Fighter / Hero	格斗 / 英雄
Fighter / King of Fighters	格斗 / 拳皇
Fighter / Mobile Suit Gundam	格斗 / 机动战士高达
Fighter / Street Fighter	格斗 / 街头斗士
Fighter / Street Fighter 2	格斗 / 街头斗士 2
Fighter / Warriors	格斗 / 武士
Fighter / Warriors 2	格斗 / 武士 2
Games / Bingo	游戏 / 宾戈游戏
Games / Crane Machines	游戏 / Crane Machines 抓娃娃机?
Games / Cards	游戏 / 纸牌
Games / Cards Black Jack	游戏 / 纸牌 Black Jack 21点
Games / Cards Pit Boss	游戏 / 纸牌 Pit Boss
Games / Cards Solitaire	游戏 / 纸牌 Solitaire
Games / Dice	游戏 / 骰子
Games / Gambling	游戏 / 赌博
Games / Gambling - AGEMAME	游戏 / 赌博 - AGEMAME
Games / Hangman	游戏 / Hangman 吊死 猜单词?
Games / Janken	游戏 / Janken 猜拳?
Games / Laser	游戏 / 激光
Games / Lotto	游戏 / 大乐透
Games / Medal	游戏 / 奖牌
Games / Multiplay	游戏 / 多人玩
Games / Netlist	游戏 / Netlist
Games / Pachinko	游戏 / 柏青哥
Games / Pinball	游戏 / 弹球
Games / Pinball - PinMAME	游戏 / 弹球 - PinMAME
Games / Punch 'em	游戏 / Punch 'em 打他们?
Games / Print Club	游戏 / 大头贴俱乐部
