10 in 1	10 合 1
100 in 1	100 合 1
1000 in 1	1000 合 1
10000000 in 1	10000000 合 1
106 in 1	106 合 1
11 in 1	11 合 1
110 in 1	110 合 1
1100000 in 1	1100000 合 1
115 in 1	115 合 1
116 in 1	116 合 1
118 in 1	118 合 1
12 in 1	12 合 1
120 in 1	120 合 1
1200 in 1	1200 合 1
125 in 1	125 合 1
126 in 1	126 合 1
130 in 1	130 合 1
14 in 1	14 合 1
15 in 1	15 合 1
150 in 1	150 合 1
1500 in 1	1500 合 1
158 in 1	158 合 1
16 in 1	16 合 1
17 in 1	17 合 1
18 in 1	18 合 1
180 in 1	180 合 1
19 in 1	19 合 1
1997 in 1	1997 合 1
2 in 1	2 合 1
20 in 1	20 合 1
200 in 1	200 合 1
2000 in 1	2000 合 1
21 in 1	21 合 1
22 in 1	22 合 1
245 in 1	245 合 1
250 in 1	250 合 1
255 in 1	255 合 1
295 in 1	295 合 1
3 in 1	3 合 1
300 in 1	300 合 1
31 in 1	31 合 1
32 in 1	32 合 1
320 in 1	320 合 1
35 in 1	35 合 1
36 in 1	36 合 1
4 in 1	4 合 1
40 in 1	40 合 1
400 in 1	400 合 1
42 in 1	42 合 1
45 in 1	45 合 1
450 in 1	450 合 1
46 in 1	46 合 1
5 in 1	5 合 1
50 in 1	50 合 1
500 in 1	500 合 1
5000000 in 1	5000000 合 1
54 in 1	54 合 1
58 in 1	58 合 1
6 in 1	6 合 1
64 in 1	64 合 1
65 in 1	65 合 1
66 in 1	66 合 1
68 in 1	68 合 1
7 in 1	7 合 1
70 in 1	70 合 1
700 in 1	700 合 1
72 in 1	72 合 1
73 in 1	73 合 1
74 in 1	74 合 1
76 in 1	76 合 1
77 in 1	77 合 1
8 in 1	8 合 1
80 in 1	80 合 1
800 in 1	800 合 1
82 in 1	82 合 1
83 in 1	83 合 1
9 in 1	9 合 1
98 in 1	98 合 1
999 in 1	999 合 1
9999 in 1	9999 合 1
9999999 in 1	9999999 合 1
