us set 1	美 第 1 套
us set 2	美 第 2 套
bootleg set 3	盗版 第 3 套
japan set 1	日本 第 1 套
japan set 2	日本 第 2 套
alternate set	替换版
bootleg set 4	盗版第 4 套
older set	较早的
world set 1	世界版 第 1 套
world set 2	世界版 第 2 套
us set 3	美 第 3 套
set 1 uk	第1套 英
japan set 3	日本 第 3 套
world set 3	世界版 第 3 套
set 2 uk	第2套 英
set 3 uk	第3套 英
oldest set	最老
set 4 uk	第4套 英
set 5 uk	第5套 英
set 6 uk	第6套 英
version 5 set 2	版本 5 第 2 套
hack of japan set	日本版的修改版
world set 4	世界版 第 4 套
20p set 1	20p 第 1 套
20p set 2	20p 第 2 套
10p set 1	10p 第 1 套
10p set 2	10p 第 2 套
10p set 3	10p 第 3 套

10p set 5	10p 第 5 套
japan set f-1	日本 f-1
us set f-2	美 f-2
korea set 1	韩 第 1 套
korea set 2	韩 第 2 套
set.1	第1套
universal set 1	通用的 第 1 套
universal set 2	通用的 第 2 套



old ver. set 1	老的 版本 第 1 套
old ver. set 2	老的 版本 第 2 套
turbo set 1	加速 第 1 套
turbo set 2	加速 第 2 套
german set 1	德国 第 1 套
german set 2	德国 第 2 套
jj1 0.1. set 2	jj1 0.1. 第 2 套
prototype set 1	原型版 第 1 套
prototype set 2	版 第 2 套


old set	老版本
japan set 4	日本 第 4 套
us set 3 old version	美 第3套 老版本
euro set 1	欧 第 1 套
euro set 2	欧 第 2 套
euro set 3	欧 第 3 套
bootleg of japan set	日版的盗版
bootleg of us set	美版的盗版
newer set	较新的版本
english bootleg set 1	英语盗版 第 1 套
english bootleg set 2	英语盗版 第 2 套
english bootleg set 3	英语盗版 第 3 套
unknown set	未知版
