version #2.2	版本 #2.2
version 0	版本 0
Version 0.3	版本 0.3
Version 0.98 beta	版本 0.98 beta
Version 01-DEC-81	版本 01-DEC-81
Version 01.11.85	版本 01.11.85
Version 01.19.89	版本 01.19.89
Version 01.23.88	版本 01.23.88
Version 01.24.86	版本 01.24.86
Version 01.27.85	版本 01.27.85
Version 01.27.88	版本 01.27.88
Version 01.27.89	版本 01.27.89
Version 01.29.87	版本 01.29.87
Version 01.31.87	版本 01.31.87
Version 01.31.89	版本 01.31.89
Version 01331	版本 01331
Version 02.01.87	版本 02.01.87
Version 02.05.86	版本 02.05.86
Version 02.09.89	版本 02.09.89
Version 02.28.89	版本 02.28.89
Version 03-FEB-1989	版本 03-FEB-1989
Version 03.07.86	版本 03.07.86
Version 03.11.86	版本 03.11.86
Version 03.12.86	版本 03.12.86
Version 03.13.86	版本 03.13.86
Version 03.19.86	版本 03.19.86
Version 04.13.84	版本 04.13.84
Version 04.19.88	版本 04.19.88
Version 04.25.85	版本 04.25.85
Version 04421	版本 04421
Version 05-SEP-81	版本 05-SEP-81
Version 05.01.87	版本 05.01.87
Version 05.23.87	版本 05.23.87
Version 050187	版本 050187
Version 06	版本 06
Version 06.01.87	版本 06.01.87
Version 06.05.86	版本 06.05.86
Version 06.12.85	版本 06.12.85
Version 06.24.86	版本 06.24.86
Version 06.29.84	版本 06.29.84
Version 06401	版本 06401
Version 07	版本 07
Version 07.05.89	版本 07.05.89
Version 07.24.87	版本 07.24.87
Version 08-OCT-85	版本 08-OCT-85
Version 08.02.89	版本 08.02.89
Version 08.05.84	版本 08.05.84
Version 08.09.83	版本 08.09.83
Version 08.15.83	版本 08.15.83
Version 08.17.87	版本 08.17.87
Version 08.31.86	版本 08.31.86
Version 09.04.87	版本 09.04.87
Version 09.08.86	版本 09.08.86
Version 09.12.86	版本 09.12.86
Version 09.13.84	版本 09.13.84
Version 09.14.87	版本 09.14.87
Version 09.15.87	版本 09.15.87
Version 09.19.83	版本 09.19.83
Version 09.20.84	版本 09.20.84
Version 09.23.85	版本 09.23.85
Version 09.27.85	版本 09.27.85
Version 1	版本 1
version 1	版本 1
Version 1.0	版本 1.0
version 1.0	版本 1.0
Version 1.0 07-Jun-88	版本 1.0 07-Jun-88
Version 1.0 08	版本 1.0 08
Version 1.0 12-Aug-88	版本 1.0 12-Aug-88
Version 1.0 final beta	版本 1.0 final beta
Version 1.0+	版本 1.0+
Version 1.0.1	版本 1.0.1
Version 1.00	版本 1.00
Version 1.00.00	版本 1.00.00
Version 1.00A	版本 1.00A
Version 1.01	版本 1.01
Version 1.01 28-Sep-88	版本 1.01 28-Sep-88
Version 1.02	版本 1.02
Version 1.03	版本 1.03
Version 1.04	版本 1.04
Version 1.09	版本 1.09
Version 1.0a	版本 1.0a
Version 1.0I	版本 1.0I
Version 1.0M	版本 1.0M
Version 1.1	版本 1.1
version 1.1	版本 1.1
Version 1.1 07-Oct-88	版本 1.1 07-Oct-88
Version 1.1 17-Nov-88	版本 1.1 17-Nov-88
Version 1.1 25-Jul-88	版本 1.1 25-Jul-88
Version 1.1.1	版本 1.1.1
Version 1.1.2	版本 1.1.2
Version 1.10	版本 1.10
Version 1.11	版本 1.11
Version 1.12	版本 1.12
Version 1.14	版本 1.14
Version 1.1a	版本 1.1a
Version 1.1A	版本 1.1A
Version 1.1B	版本 1.1B
Version 1.1b	版本 1.1b
Version 1.1C	版本 1.1C
Version 1.2	版本 1.2
version 1.2	版本 1.2
Version 1.2 16-Nov-87	版本 1.2 16-Nov-87
Version 1.2.2	版本 1.2.2
Version 1.20	版本 1.20
Version 1.20 Release 1.00	版本 1.20 Release 1.00
Version 1.21	版本 1.21
Version 1.22	版本 1.22
Version 1.23	版本 1.23
Version 1.25B	版本 1.25B
Version 1.2A	版本 1.2A
Version 1.3	版本 1.3
version 1.3	版本 1.3
Version 1.3.1	版本 1.3.1
Version 1.30	版本 1.30
Version 1.30 Release 2.00	版本 1.30 Release 2.00
Version 1.36	版本 1.36
Version 1.3a	版本 1.3a
Version 1.4	版本 1.4
version 1.4	版本 1.4
Version 1.4 - 022988	版本 1.4 - 022988
Version 1.4+	版本 1.4+
Version 1.46	版本 1.46

Version 1.5	版本 1.5
version 1.5	版本 1.5
Version 1.6	版本 1.6
version 1.6	版本 1.6
Version 1.7	版本 1.7
version 1.7	版本 1.7
Version 1.8	版本 1.8
version 1.8	版本 1.8
Version 1.8 21-Dec-88	版本 1.8 21-Dec-88
Version 1.80	版本 1.80
Version 10.18.88	版本 10.18.88
Version 10.84	版本 10.84
version 1005	版本 1005
version 1035	版本 1035
Version 11-Aug-89	版本 11-Aug-89
Version 11.04.83	版本 11.04.83
Version 11.24.88	版本 11.24.88
version 1100	版本 1100
Version 12-Jan-89	版本 12-Jan-89
Version 12.14.87	版本 12.14.87
Version 12.15.87	版本 12.15.87
Version 12.21.89	版本 12.21.89
Version 12.29.88	版本 12.29.88
Version 12501	版本 12501
Version 12511	版本 12511
version 1260	版本 1260
Version 13-JUL-1989	版本 13-JUL-1989
Version 13501	版本 13501
version 1361	版本 1361
version 1470	版本 1470
Version 15-Sep-87	版本 15-Sep-87
version 1500	版本 1500
Version 15521	版本 15521
Version 15531	版本 15531
Version 16	版本 16
version 1654	版本 1654
Version 18-JAN-89	版本 18-JAN-89
Version 18-Jul-89	版本 18-Jul-89
version 1930	版本 1930
Version 1982-01-14	版本 1982-01-14
Version 1982.0	版本 1982.0
Version 1982.1	版本 1982.1
Version 1983	版本 1983
Version 1983-01-12	版本 1983-01-12
Version 1984	版本 1984
Version 1984-01-31	版本 1984-01-31
Version 1984-03-14	版本 1984-03-14
Version 1984-06-05	版本 1984-06-05
Version 1984-08-22	版本 1984-08-22
Version 1984-09-27	版本 1984-09-27
Version 1984-10-05	版本 1984-10-05
Version 1984-11-01	版本 1984-11-01
Version 1984-11-26	版本 1984-11-26
Version 1985-03-01	版本 1985-03-01
Version 1985-08-30	版本 1985-08-30
Version 1985-09-10	版本 1985-09-10
Version 1985-12-02	版本 1985-12-02
Version 1986-01-01	版本 1986-01-01
Version 1986-11-01	版本 1986-11-01
Version 1986-11-17	版本 1986-11-17
Version 1987-05-04	版本 1987-05-04
Version 1987-08-12	版本 1987-08-12
Version 1987-10-31	版本 1987-10-31
Version 1987.08.24	版本 1987.08.24
Version 1988-09-28	版本 1988-09-28
Version 2	版本 2
version 2	版本 2
Version 2.0	版本 2.0
Version 2.0-1984	版本 2.0-1984
Version 2.0-1984-10-26	版本 2.0-1984-10-26
Version 2.0-1989-04-21	版本 2.0-1989-04-21
Version 2.00	版本 2.00
Version 2.01	版本 2.01
Version 2.02	版本 2.02
Version 2.03	版本 2.03
Version 2.0A	版本 2.0A
Version 2.1	版本 2.1
Version 2.1+	版本 2.1+
Version 2.1.6	版本 2.1.6
Version 2.10	版本 2.10
Version 2.11	版本 2.11
Version 2.12	版本 2.12
Version 2.12C	版本 2.12C
Version 2.1e	版本 2.1e
Version 2.2	版本 2.2
Version 2.25a	版本 2.25a
Version 2.3	版本 2.3
Version 2.4.3	版本 2.4.3
Version 2.49B	版本 2.49B
Version 2.5	版本 2.5
Version 2.6	版本 2.6
Version 2.7	版本 2.7
Version 2.8:3 - 1.1:2	版本 2.8:3 - 1.1:2
Version 20-Jan-87	版本 20-Jan-87
version 21	版本 21
Version 25-Sep-89	版本 25-Sep-89
Version 26-APR-86	版本 26-APR-86
Version 26-JAN-82	版本 26-JAN-82
version 28.7	版本 28.7
Version 28701	版本 28701
Version 29-APR-82	版本 29-APR-82
Version 29-Aug-89	版本 29-Aug-89
Version 29.06.84	版本 29.06.84
Version 3	版本 3
version 3	版本 3
Version 3.0	版本 3.0
Version 3.0-1984-02-06	版本 3.0-1984-02-06
Version 3.0-1984-05-25	版本 3.0-1984-05-25
Version 3.00	版本 3.00
Version 3.02	版本 3.02
Version 3.0a	版本 3.0a
Version 3.0A	版本 3.0A
Version 3.1	版本 3.1
Version 3.1.6	版本 3.1.6
Version 3.10	版本 3.10
Version 3.1c	版本 3.1c
Version 3.1E	版本 3.1E
Version 3.2	版本 3.2
Version 3.2.0	版本 3.2.0
Version 3.20	版本 3.20
Version 3.3	版本 3.3
Version 3.3.1	版本 3.3.1
Version 3.30	版本 3.30
Version 3.30A	版本 3.30A
Version 3.30B	版本 3.30B
Version 3.31	版本 3.31
Version 3.33	版本 3.33
Version 3.4	版本 3.4
Version 3.5	版本 3.5
Version 3.6	版本 3.6
Version 3.7	版本 3.7
Version 3.8	版本 3.8
Version 4	版本 4
Version 4.0	版本 4.0
Version 4.00	版本 4.00
Version 4.01	版本 4.01
Version 4.1	版本 4.1
