MAME 街机游戏列表显示器	MAME game list
MAME Software List(软件列表)	MAME Software List
缩写	name
年代	year
源代码	source
制造商	manufacturer
主版本	parent
游戏名(译)	description(translated)
游戏名英文	description
模拟状态	status
存档状态	save state
id	
出版商	publisher
备注名	alt_title
支持	supported
所有列表	all
拥有列表	available
未拥有列表	unavailable
副版本	clone
bios	
device	
mechanical	
software list	
chd	
sample	
存盘状态	save state
dump 问题	dump
声音 通道	sound channels
芯片 cpu	chip cpu
芯片 audio	chip audio
输入 玩家	input players
输入 控制	input control
显示 数量	display number
显示 种类	display type
显示 刷新率	display refresh
显示 旋转	display rotate
显示 分辨率	display resolution
snap 游戏截图	snap
titles 游戏标题图	titles
flyers 游戏海报	flyers
图片 cabinets	cabinets
图片 cpanel	cpanel
图片 devices	devices
图片 marquees	marquees
图片 pcb	pcb
图片 artpreview	artpreview
图片 bosses	bosses
图片 ends	ends
图片 gameover	gameover
图片 howto	howto
图片 logo	logo
图片 scores	scores
图片 select	select
图片 versus	versus
图片 warning	warning
图片 其它1	others 1
图片 其它2	others 2
图片 其它3	others 3
历史(xml格式)：history.xml	history.xml
历史(dat格式)：history.dat	history.dat
文档：mameinfo.dat	mameinfo.dat
文档：messinfo.dat	messinfo.dat
文档：gameinit.dat	gameinit.dat
文档：sysinfo.dat	sysinfo.dat
出招表 中文版 command.dat	command.dat
出招表 英文版 command_english.dat	command_english.dat
分类列表：	index:
图片	image
文档	text
文档2	text2
zip	
不换行	no wrap
以词换行	wrap by word
以字符换行	wrap by char
用目录	use index
主版本为：	parent:
全部	all
运行游戏	run the game
运行游戏，不隐藏 UI	run the game,not hide UI
运行游戏，开启多键盘功能	run the game,use multi-keyboard
自定义运行方式	run by the user's setting
需要你自己设定好对应的参数	you need to do some settings before
按数字键也是一样的	press the number key is the same
按 Ctrl + 数字键，将保留 UI	press Ctrl + number key,keep the UI
具体查看说明	see the docs
校验 roms，-verifyroms	verify roms，-verifyroms
校验 samples，-verifysamples	verify samples,-verifysamples
显示roms信息，-listroms（太简略，分不清 roms 是独立的还是共用的）	show roms info,-listroms
显示roms信息，-listxml（含大量其它信息）	show roms info,-listxml
显示roms信息，-listxml -nodtd（同上，去掉文件头）	show roms info,-listxml -nodtd
导出	export
导出当前列表 id 到：	export current list's ID to:
导出当前列表到：	export current list to:
导出列表选中项 id 到：	export the selected items's ID to:
导出列表选中项到：	export the selected items's to:
目录修改，添加到指定目录	edit index,add to ...
目录修改，当前目录，删除选中内容。	edit index,current index,delete selected items
目录修改，选择目录，删除选中内容	edit index,choose index to delete selected items
其它	others
当前目录，删除所有主版本	current index,delete all parent items
当前目录，删除所有克隆版本	current index,delete all clone items
当前目录，为所有主版本，添加其副版本	current index,if there are any parent items,add their clone items
当前目录，为所有副版本，添加其主版本	current index,if there are any clone items,add their parent items
-	
选择列表显示项目	set gamelist columns
其它：	other:
多选模式	multi select
添加到 自定义目录	add to index
确认	OK
目录	index
文件路径	file path
选择 自定义目录	select index
关闭所有展开的项 (如果当前选中第二层，不含当前项)	hide all items in level 2 (not hide the current item)
全部收起	collapse all
计数	count
保存	save
搜索	search
第一层目录数量为：	the number of index in level 1
第二层目录数量为：	the number of index in level 2
总计：	all:
目录数量	index number
